song_id,artist,song,tier
808,Yo Gotti Featuring Lil Baby,Put A Date On It,2
1316,Thomas Rhett,T-Shirt,2
1452,Anuel AA & Romeo Santos,Ella Quiere Beber,2
1282,Jeremih Featuring J. Cole,Planez,2
1230,Dierks Bentley,Say You Do,2
1975,Coldplay,Magic,2
1978,Bad Bunny,Neverita,2
904,Shawn Mendes & Justin Bieber,Monster,2
34,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light,2
309,Karol G & Nicki Minaj,Tusa,2
1197,French Montana Featuring Drake,No Stylist,2
1804,The Chainsmokers,#SELFIE,2
417,Wale Featuring Usher,The Matrimony,2
1750,Charlie Puth,Light Switch,2
947,Old Dominion,I Was On A Boat That Day,2
552,Eric Church,Desperate Man,2
1210,Wale,My PYT,2
1412,Brett Eldredge,Lose My Mind,2
1233,Sexyy Red & Drake,U My Everything,2
2026,Big Sean Featuring E-40,I Don't F**k With You,3
3167,Walker Hayes,AA,3
1956,Megan Thee Stallion,Body,3
2174,Rihanna,B**** Better Have My Money,3
2122,Niall Horan,Slow Hands,3
1775,Post Malone,Chemical,3
3036,Billie Eilish,Bury A Friend,3
1662,Young Nudy Featuring 21 Savage,Peaches & Eggplants,3
2912,Cole Swindell,She Had Me At Heads Carolina,3
1955,NF,Let You Down,3
3190,Luke Combs,Hurricane,3
1621,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,3
3166,Zach Bryan Featuring The War And Treaty,Hey Driver,3
990,One Direction,Story Of My Life,3
3231,Morgan Wallen,More Than My Hometown,3
2781,Morgan Wallen,Sand In My Boots,3
2517,Tove Lo,Talking Body,3
2054,Florida Georgia Line,Dirt,3
3130,Xavi,La Diabla,3
2375,Flume Featuring Kai,Never Be Like You,3
2252,Moneybagg Yo Featuring Morgan Wallen,Whiskey Whiskey,3
2169,Parker McCollum,Pretty Heart,3
2032,Childish Gambino,Redbone,3
2698,Morgan Wallen,I Wrote The Book,3
2016,Kelly Clarkson,Heartbeat Song,3
2137,Lil Baby,On Me,3
1937,Marshmello & Kane Brown,One Thing Right,3
777,SZA,Good Days,3
3193,Lil Durk Featuring Morgan Wallen,Broadway Girls,3
2171,Billie Eilish,Chihiro,3
1507,Bad Bunny,Un Ratito,3
2692,Saweetie Featuring Doja Cat,Best Friend,3
1511,P!nk,What About Us,3
1351,Morgan Wallen,One Thing At A Time,3
2609,XXXTENTACION,Changes,3
1859,Luke Combs,"Going, Going, Gone",3
1784,Imagine Dragons,Radioactive,3
2423,Ryan Hurd With Maren Morris,Chasing After You,3
1888,City Girls,Act Up,3
1503,Tyler Hubbard,Dancin' In The Country,3
1933,George Ezra,Budapest,3
944,Juice WRLD & YoungBoy Never Broke Again,Bandit,3
2246,Kendrick Lamar Featuring Zacari,Love.,3
3159,Russell Dickerson,Love You Like I Used To,3
3109,Lee Brice,Rumor,3
2940,One Direction,Night Changes,3
3169,Miley Cyrus,Midnight Sky,3
2408,Lil Baby,Sum 2 Prove,3
978,Ed Sheeran,Photograph,3
2628,Mitski,My Love Mine All Mine,3
2340,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,4
2715,Justin Bieber,What Do You Mean?,4
1611,Travis Scott Featuring Drake,Meltdown,4
2343,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,4
1870,Drake,What's Next,4
1829,twenty one pilots,Ride,4
2951,Benson Boone,Beautiful Things,4
1877,Juice WRLD,Wishing Well,4
2619,"Future, Metro Boomin & Kendrick Lamar",Like That,4
2005,Camila Cabello Featuring Young Thug,Havana,4
1508,Major Lazer Featuring Justin Bieber & MO,Cold Water,4
3091,Post Malone Featuring Ty Dolla $ign,Psycho,4
1699,Selena Gomez,Lose You To Love Me,4
1779,Doja Cat,Paint The Town Red,4
2042,The Weeknd Featuring Daft Punk,I Feel It Coming,4
1644,Taylor Swift,"So Long, London",4
2705,Drake & 21 Savage,Spin Bout U,4
3165,Ariana Grande,7 Rings,4
2462,James Arthur,Say You Won't Let Go,4
3208,Post Malone Featuring Morgan Wallen,I Had Some Help,4
1791,Sam Smith,I'm Not The Only One,4
1541,Oliver Anthony Music,Rich Men North Of Richmond,4
3236,Zach Bryan,Something In The Orange,4
2681,Lil Durk Featuring J. Cole,All My Life,4
1473,Polo G,Rapstar,4
3276,BTS,Butter,4
1954,Nicki Minaj,Anaconda,4
2410,Katy Perry Featuring Juicy J,Dark Horse,4
2607,Bad Bunny,Titi Me Pregunto,4
1919,Taylor Swift,I Can Do It With A Broken Heart,4
3251,Drake,Virginia Beach,4
2286,Rihanna Featuring Drake,Work,4
2606,Dua Lipa,New Rules,4
1701,Billie Eilish,Lunch,4
2464,Elle King,Ex's & Oh's,4
1961,Shawn Mendes & Camila Cabello,Senorita,4
1951,The Chainsmokers Featuring Daya,Don't Let Me Down,4
3035,Beyonce,Break My Soul,4
2142,J Balvin & Willy William Featuring Beyonce,Mi Gente,4
2071,OneRepublic,Counting Stars,4
3191,G-Eazy x Bebe Rexha,"Me, Myself & I",4
1688,Drake,Hotline Bling,4
1790,Harry Styles,Sign Of The Times,4
1574,Drake,In My Feelings,4
1824,Jung Kook,Standing Next To You,4
3198,DaBaby Featuring Roddy Ricch,Rockstar,4
2090,Rihanna,Needed Me,4
2219,Coldplay x BTS,My Universe,4
1568,Imagine Dragons,Thunder,4
2193,The Weeknd,Can't Feel My Face,4
